InvoiceNo,CustomerID,InvoiceDate,Quantity,UnitPrice,TotalAmount
INV10000,CUST1046,2026-08-21 14:35:34.873692,7,24.86,174.01999999999998
INV10001,CUST1011,2026-03-22 14:35:34.873959,5,49.61,248.05
INV10002,CUST1061,2026-07-01 14:35:34.873969,5,80.59,402.95000000000005
INV10003,CUST1079,2026-07-26 14:35:34.873972,5,10.02,50.099999999999994
INV10004,CUST1082,2026-09-08 14:35:34.873974,1,86.45,86.45
INV10005,CUST1007,2026-09-08 14:35:34.873978,8,4.35,34.8
INV10006,CUST1148,2026-09-15 14:35:34.873980,1,743.6,743.6
INV10007,CUST1080,2026-05-21 14:35:34.873982,4,100.65,402.6
INV10008,CUST1117,2026-07-25 14:35:34.873984,9,14.05,126.45
INV10009,CUST1197,2026-07-07 14:35:34.873986,9,31.87,286.83
INV10010,CUST1199,2026-09-17 14:35:34.873988,5,24.08,120.39999999999999
INV10011,CUST1024,2026-02-20 14:35:34.873990,4,39.14,156.56
INV10012,CUST1088,2026-06-03 14:35:34.873992,3,8.0,24.0
INV10013,CUST1011,2026-09-04 14:35:34.873994,3,73.71,221.13
INV10014,CUST1142,2026-09-06 14:35:34.873996,5,6.1,30.5
INV10015,CUST1058,2026-09-06 14:35:34.873998,1,272.36,272.36
INV10016,CUST1153,2026-08-28 14:35:34.873999,5,47.7,238.5
INV10017,CUST1108,2026-08-05 14:35:34.874001,6,32.51,195.06
INV10018,CUST1025,2026-08-16 14:35:34.874003,7,2.22,15.540000000000001
INV10019,CUST1046,2026-08-29 14:35:34.874005,9,7.13,64.17
INV10020,CUST1031,2026-07-24 14:35:34.874007,3,18.6,55.800000000000004
INV10021,CUST1009,2026-09-09 14:35:34.874009,2,38.49,76.98
INV10022,CUST1015,2026-08-29 14:35:34.874010,3,7.92,23.759999999999998
INV10023,CUST1198,2026-08-22 14:35:34.874012,9,47.18,424.62
INV10024,CUST1144,2026-08-13 14:35:34.874014,7,18.72,131.04
INV10025,CUST1150,2026-06-18 14:35:34.874016,9,7.19,64.71000000000001
INV10026,CUST1025,2026-09-05 14:35:34.874018,2,42.94,85.88
INV10027,CUST1085,2026-08-06 14:35:34.874020,5,19.78,98.9
INV10028,CUST1134,2026-07-27 14:35:34.874021,4,36.92,147.68
INV10029,CUST1013,2026-09-16 14:35:34.874023,2,59.38,118.76
INV10030,CUST1078,2026-07-24 14:35:34.874025,9,43.08,387.71999999999997
INV10031,CUST1116,2026-09-07 14:35:34.874026,9,12.56,113.04
INV10032,CUST1006,2026-09-14 14:35:34.874028,6,122.87,737.22
INV10033,CUST1136,2026-03-24 14:35:34.874030,6,49.33,295.98
INV10034,CUST1114,2026-02-28 14:35:34.874032,8,5.63,45.04
INV10035,CUST1175,2026-06-11 14:35:34.874034,6,68.36,410.15999999999997
INV10036,CUST1071,2026-08-28 14:35:34.874035,1,28.56,28.56
INV10037,CUST1058,2026-09-12 14:35:34.874037,4,66.28,265.12
INV10038,CUST1081,2026-07-11 14:35:34.874039,7,11.69,81.83
INV10039,CUST1115,2026-08-15 14:35:34.874041,2,162.76,325.52
INV10040,CUST1166,2026-09-11 14:35:34.874042,9,34.87,313.83
INV10041,CUST1145,2026-08-08 14:35:34.874044,8,31.99,255.92
INV10042,CUST1186,2026-09-16 14:35:34.874046,8,30.51,244.08
INV10043,CUST1102,2026-04-27 14:35:34.874048,7,9.22,64.54
INV10044,CUST1016,2026-09-01 14:35:34.874050,4,5.66,22.64
INV10045,CUST1013,2026-07-15 14:35:34.874051,2,43.69,87.38
INV10046,CUST1158,2026-08-27 14:35:34.874053,3,12.86,38.58
INV10047,CUST1151,2026-08-05 14:35:34.874055,6,31.35,188.10000000000002
INV10048,CUST1107,2026-08-02 14:35:34.874057,5,14.74,73.7
INV10049,CUST1187,2026-09-06 14:35:34.874058,8,70.88,567.04
INV10050,CUST1044,2026-02-21 14:35:34.874060,6,27.28,163.68
INV10051,CUST1097,2026-06-21 14:35:34.874062,6,44.88,269.28000000000003
INV10052,CUST1130,2026-04-03 14:35:34.874064,1,31.33,31.33
