CustomerID,Recency,Frequency,Monetary,Cluster
CUST1000,11,5,501.28,2
CUST1001,18,6,991.23,1
CUST1002,2,6,932.79,0
CUST1003,19,4,1411.96,1
CUST1004,10,6,1398.04,0
CUST1005,28,5,649.5,1
CUST1006,1,7,1843.15,0
CUST1007,5,9,1623.21,0
CUST1008,11,6,1239.4599999999998,0
CUST1009,3,5,774.7,2
CUST1010,24,6,702.9599999999999,1
CUST1011,8,11,1947.4,0
CUST1012,41,6,1020.17,1
CUST1013,3,7,788.65,0
CUST1014,24,8,1230.42,0
CUST1015,10,3,579.81,1
CUST1016,18,4,487.40000000000003,1
CUST1017,5,4,391.25,2
CUST1018,20,4,386.7,1
CUST1019,17,5,616.63,1
CUST1020,6,6,1178.1,0
CUST1021,6,4,620.3599999999999,2
CUST1022,30,2,418.62,1
CUST1023,36,4,796.86,1
CUST1024,37,5,967.12,1
CUST1025,2,8,880.72,0
CUST1026,5,5,322.56,2
CUST1027,7,3,616.49,2
CUST1028,4,8,2121.02,0
CUST1029,54,1,10.57,3
CUST1030,16,4,753.28,1
CUST1031,1,5,752.1600000000001,2
CUST1032,2,5,1503.33,0
CUST1033,4,3,94.22999999999999,3
CUST1034,3,6,911.75,0
CUST1035,13,4,693.49,1
CUST1036,3,12,1648.3899999999999,0
CUST1037,32,2,274.14,1
CUST1038,3,9,1811.52,0
CUST1039,6,5,1191.42,0
CUST1040,17,4,1047.3,1
CUST1041,8,4,868.29,2
CUST1042,2,2,39.69,3
CUST1043,4,5,505.18999999999994,2
CUST1044,34,8,1002.17,1
CUST1045,10,8,1125.3,0
CUST1046,11,9,1658.3400000000001,0
CUST1047,8,4,525.7,2
CUST1048,8,8,1193.55,0
CUST1049,10,6,441.9,2
CUST1050,8,2,202.66000000000003,3
CUST1051,31,3,355.09000000000003,1
CUST1052,69,3,361.96,1
CUST1053,7,5,1358.78,0
CUST1054,5,5,435.72,2
CUST1055,5,4,831.44,2
CUST1056,38,2,121.27999999999999,3
CUST1057,3,5,405.47,2
CUST1058,7,7,962.27,0
CUST1059,5,8,908.8,0
CUST1060,28,3,190.29999999999998,1
CUST1061,5,8,2066.71,0
CUST1062,10,5,1121.1799999999998,0
CUST1063,1,5,661.6400000000001,2
CUST1064,45,2,455.69999999999993,1
CUST1065,13,2,441.85,1
CUST1066,8,4,432.33,2
CUST1067,2,7,1232.99,0
CUST1068,14,4,546.33,1
